AREA_CODE,AGE_GROUP,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,age
E06000001,66,1073,1019.041,1055.75,1046.198,983.658,1069.711,1051.977,1150.53,1137.489,1225.736,1184.439,1275.999,1328.924,1312.276,1278.825,1343.778,1295.918,1294.716,1193.143,1157.944,1178.039,1219.061,1123.126,1086.695,966.214,944.77,66
E06000001,67,1128,1058.776,1006.27,1041.771,1032.586,971.435,1056.215,1039.119,1135.901,1123.837,1210.562,1170.378,1260.662,1313.233,1297.221,1264.797,1328.56,1281.977,1280.894,1181.313,1146.809,1166.459,1207.135,1112.742,1076.476,957.912,67
E06000001,68,1116,1112.574,1045.18,993.44,1027.761,1019.889,959.743,1043.129,1026.574,1121.632,1110.72,1195.813,1156.613,1245.67,1297.982,1282.502,1251.12,1313.538,1268.373,1267.427,1169.741,1135.896,1155.06,1195.43,1102.518,1066.398,68
E06000001,69,1169,1098.877,1094.698,1029.973,979.494,1013.104,1005.595,946.982,1028.805,1013.087,1106.441,1096.187,1179.776,1141.725,1229.477,1281.368,1266.575,1236.165,1297.587,1253.541,1252.714,1157.067,1123.944,1142.742,1182.702,1091.403,69
E06000001,70,901,1146.264,1078.474,1075.355,1012.219,962.868,995.585,988.7,931.878,1011.894,996.846,1088.537,1078.881,1160.981,1124.053,1210.401,1261.721,1247.571,1217.966,1278.526,1235.464,1234.776,1141.067,1108.708,1127.293,1166.748,70
E06000001,71,853,886.001,1129.731,1063.771,1059.481,998.132,949.598,982.194,975.935,919.952,998.893,984.336,1074.71,1065.905,1146.71,1110.726,1196.02,1247.107,1233.386,1204.637,1264.216,1222.327,1221.768,1129.611,1097.842,1116.126,71
E06000001,72,770,830.824,863.927,1103.104,1037.236,1033.546,974.797,927.373,959.597,954.128,899.344,976.895,962.893,1051.214,1043.505,1122.419,1087.595,1171.323,1221.894,1208.63,1180.939,1239.02,1198.783,1198.505,1108.512,1077.534,72
E06000001,73,695,746.992,805.947,837.124,1069.148,1006.324,1004.446,947.496,900.643,932.972,929.107,874.845,951.278,937.49,1023.114,1017.385,1093.863,1060.287,1142.141,1192.39,1179.41,1153.285,1208.861,1171.343,1171.387,1083.937,73
E06000001,74,709,675.912,727.016,785.918,815.544,1043.697,981.813,980.389,925.476,879.746,911.733,908.523,855.623,930.524,917.365,1001.108,996.292,1071.037,1038.6,1118.908,1168.595,1156.134,1131.044,1185.304,1149.256,1149.518,74
E06000001,75,596,686.403,655.073,705.193,762.325,791.428,1013.577,953.847,952.884,899.983,855.712,887.192,884.733,833.345,906.556,894.041,975.717,971.805,1044.64,1013.429,1091.981,1140.98,1129.109,1105.12,1157.939,1123.443,75
